,Headline,Date,Symbol,Company Name
0, nine of top 10 firms lose rs 1 87 lakh cr in market valuation  hdfc bank  ril hit hard ,"Feb 26, 2023, 10:45 AM IST",hdfcbank,hdfc bank
1, nine of top 10 firms lose rs 1 87 lakh crore in market valuation  hdfc bank  ril hit hard ,"February 26, 2023 10:11 AM IST",hdfcbank,hdfc bank
2, nine of top 10 firms lose rs 1 87 trn in mcap  hdfc bank  ril hit hard ,"February 26, 2023, Sunday",hdfcbank,hdfc bank
3, nine of top 10 firms lose rs 1 87 lakh cr in market valuation  hdfc bank  ril hit hard ,"Feb 26, 2023, 10:45 AM IST",hdfc,housing development finance corporation
4, nine of top 10 firms lose rs 1 87 lakh crore in market valuation  hdfc bank  ril hit hard ,"February 26, 2023 10:11 AM IST",hdfc,housing development finance corporation
5, nine of top 10 firms lose rs 1 87 trn in mcap  hdfc bank  ril hit hard ,"February 26, 2023, Sunday",hdfc,housing development finance corporation
6, siemens scaling new heights on strong performance  govt s infra thrust ,"February 24, 2023, Friday",siemens,siemens
7, gail india rallies 5  in weak market  hits 8 month high on heavy volumes ,"February 24, 2023, Friday",gail,gail india
8, vodafone idea s shareholders approve issuance of   1 600 crore ocd to atc ,"26 Feb 2023, 09:45 AM IST",idea,vodafone idea
9, risks to the market rally are rising  oil stocks a good bet  chris wood ,"February 24, 2023, Friday",oil,oil india
10, jindal stainless  hisar  fixes record date for merger with jsl  stock up 3  ,"February 24, 2023, Friday",jsl,jindal stainless
11, olectra  in partnership with ril  unveils hydrogen bus  stock zooms 20  ,"February 24, 2023, Friday",olectra,olectra greentech
12, 31 smallcaps fall 10 43  as markets fall 2 5  amid weak global cues ,"February 26, 2023 08:29 AM IST",global,global education
