,Date,Headline,Symbol,Company Name
0,"22 Feb 2023, 07:28 AM IST", stocks to watch  adani transmission  hdfc bank  zee  paytm  irb infra ,hdfcbank,hdfc bank
1,"22 Feb 2023, 06:53 AM IST", day trading guide for wednesday  infosys  cg pwr  iex among stocks to buy today ,infy,infosys
2,"22 Feb 2023, 07:28 AM IST", stocks to watch  adani transmission  hdfc bank  zee  paytm  irb infra ,hdfc,housing development finance corporation
3,"22 Feb 2023, 01:07 PM IST", adani enterprises tumbles 11   other group stocks bleed after wikipedia s claim ,adanient,adani enterprises
4,"Feb 22, 2023, 02:50 PM IST", adani enterprises stock tanks over 12  as selling pressure intensifies ,adanient,adani enterprises
5,"February 22, 2023 05:02 PM IST", mc a10 index falls over 8  as adani enterprises weighs heavy  another rs 50 000 crore gone ,adanient,adani enterprises
6,"February 22, 2023 02:26 PM IST", f o buzzer  adani ports  adani enterprises sink as bears rack up positions ,adanient,adani enterprises
7,"22 Feb 2023, 07:28 AM IST", stocks to watch  adani transmission  hdfc bank  zee  paytm  irb infra ,adanitrans,adani transmission
8,"22 Feb 2023, 12:35 PM IST", gujarat fluoro  deepak nitrite  srf  which specialty chemical stocks to buy hold ,srf,srf
9,"22 Feb 2023, 07:28 AM IST", stocks to watch  adani transmission  hdfc bank  zee  paytm  irb infra ,paytm,one 97 communications
10,"22 Feb 2023, 12:35 PM IST", gujarat fluoro  deepak nitrite  srf  which specialty chemical stocks to buy hold ,deepakntr,deepak nitrite
11,"February 22, 2023 12:13 PM IST", heat wave is good news for voltas shareholders  jefferies sees 20  upside ,voltas,voltas
12,"22 Feb 2023, 07:29 AM IST", vodafone idea stock under f o ban on nse today  details here ,idea,vodafone idea
13,"22 Feb 2023, 10:03 AM IST", delhivery shares tank on block deal buzz after rallying for 7 straight days ,delhivery,delhivery
14,"Feb 22, 2023, 03:58 PM IST", jm financial initiates coverage on delhivery with a target price of rs 350 ,delhivery,delhivery
15,"22 Feb 2023, 11:25 AM IST", irb infra shares trade ex split of 1 10  stock rises ,irb,irb infrastructure developers
16,"22 Feb 2023, 07:28 AM IST", stocks to watch  adani transmission  hdfc bank  zee  paytm  irb infra ,irb,irb infrastructure developers
17,"Feb 22, 2023, 06:11 PM IST", blue star  irb infra among 7 stocks that defied bearish mood on street to hit 52 week highs ,irb,irb infrastructure developers
18,"February 22, 2023 08:13 PM IST", mahindra cie automotive q4 profit grows 153  to rs 195 crore ,mahindcie,mahindra cie automotive
19,"22 Feb 2023, 06:53 AM IST", day trading guide for wednesday  infosys  cg pwr  iex among stocks to buy today ,iex,indian energy exchange
20,"Feb 22, 2023, 06:11 PM IST", blue star  irb infra among 7 stocks that defied bearish mood on street to hit 52 week highs ,bluestarco,blue star
21,"February 22, 2023 02:04 PM IST", iti shares rally 6  after rajesh rai takes charge as cmd ,iti,iti
22,"22 Feb 2023, 08:24 PM IST", only 1 sensex stock ends in the green  266 bse stocks hit 52 week low ,bse,bse
23,"Feb 22, 2023, 03:58 PM IST", jm financial initiates coverage on delhivery with a target price of rs 350 ,jmfinancil,jm financial
24,"Feb 22, 2023, 06:11 PM IST", blue star  irb infra among 7 stocks that defied bearish mood on street to hit 52 week highs ,star,strides pharma science
25,"Feb 22, 2023, 07:24 PM IST", trading guide  alembic pharma among 5 stock recommendations for thursday ,alembicltd,alembic
26,"22 Feb 2023, 07:31 AM IST", global market update  sgx nifty  asia follow weak cues from wall street ,global,global education
27,"Feb 22, 2023, 08:14 PM IST", us stocks edge higher as investors focus on fed minutes ,focus,focus lighting fixtures
