,Headline,Date,Symbol,Company Name
0, mc a10 index falls 4  dragged by adani s energy portfolio  adani enterprises ,"February 21, 2023 07:04 PM IST",adanient,adani enterprises
1, hzl vedanta  government s opposition to the zinc deal has a surprising escape clause ,"February 21, 2023 11:20 AM IST",vedl,vedanta
2, marico stock price edges higher  citi retains  buy  call ,"February 21, 2023 12:04 PM IST",marico,marico
3, sensex  nifty end flat amid weak global cues  spicejet cracks 6   nmdc steel jumps 5  ,"Feb 21, 2023, 04:09 PM IST",nmdc,nmdc
4, record high oil demand  which stock will gain  which will lose  according to nomura ,"February 21, 2023 11:44 AM IST",oil,oil india
5, trading guide  route mobile among 6 stock recommendations for wednesday ,"Feb 21, 2023, 09:09 PM IST",route,route mobile
6, hgs buyback  what should be your trading strategy  ,"Feb 21, 2023, 02:45 PM IST",hgs,hinduja global solutions
7, symphony hits nine month high with big bullish candle formation ,"February 21, 2023 04:25 PM IST",symphony,symphony
8, gujarat ambuja exports trades 3  higher on capacity expansion plan ,"February 21, 2023 12:09 PM IST",gael,gujarat ambuja exports
9, shilpa medicare back in action  tops nifty500 list with over 9  gains ,"February 21, 2023 04:43 PM IST",shilpamed,shilpa medicare
10, u s  business activity rebounds to eight month high in february  s p global survey ,"Feb 21, 2023, 08:32 PM IST",global,global education
11, sensex  nifty end flat amid weak global cues  spicejet cracks 6   nmdc steel jumps 5  ,"Feb 21, 2023, 04:09 PM IST",global,global education
12, marine electricals zooms 5  on winning orders worth rs 13 92 crore ,"February 21, 2023 12:19 PM IST",marine,marine electricals india
13, technical view   nifty forms bearish candle  17 900 vital for upside ,"February 21, 2023 05:39 PM IST",vital,vital chemtech
14, marine electricals zooms 5  on winning orders worth rs 13 92 crore ,"February 21, 2023 12:19 PM IST",worth,worth peripherals
