,Headline,Date,Symbol,Company Name
0, reliance leads as m cap of 5 out of top 10 most valued firms jump rs 95 337 cr last week ,"Feb 19, 2023, 11:11 AM IST",reliance,reliance industries
1, nse to include adani wilmar  adani power to few indices from march 31 ,"February 18, 2023 10:43 AM IST",adanipower,adani power
2, nse to include adani wilmar  adani power to few indices from march 31 ,"February 18, 2023 10:43 AM IST",awl,adani wilmar
3, market trading guide  laurus labs  jbm auto among 5 stock recommendations for monday ,"Feb 19, 2023, 01:26 PM IST",lauruslabs,laurus labs
4, low pe high roe stock akzo nobel india sets record date for   25 dividend ,"19 Feb 2023, 09:00 PM IST",akzoindia,akzo nobel india
5, market trading guide  laurus labs  jbm auto among 5 stock recommendations for monday ,"Feb 19, 2023, 01:26 PM IST",jbma,jbm auto
6, global cues  monthly f o expiry among 8 factors that will drive markets this week ,"Feb 19, 2023, 08:55 AM IST",global,global education
7, long term wealth creators  6 midcaps with high roe   net profit margin ,"Feb 19, 2023, 09:11 AM IST",wealth,wealth first portfolio managers
8, commodities may take cues from second estimates for us q4cy22 gdp next week ,"February 19, 2023 07:14 AM IST",take,take solutions
9, fpis shift focus back on indian market  invest rs 7 600 cr in a week ,"Feb 19, 2023, 12:39 PM IST",focus,focus lighting fixtures
10, fpis shift focus back on indian market  invest rs 7 600 crore in a week ,"February 19, 2023 02:27 PM IST",focus,focus lighting fixtures
