,Headline,Date
0,  Trade setup for Tuesday: Top 15 things to know before the opening bell,2023-04-17 22:41:00
1,"  Bulk Deals | Segantii India, Morgan Stanley and Goldman Sachs pick shares worth Rs 640 crore in Zee Entertainment",2023-04-17 19:11:00
2,  Mankind Pharma IPO to open on April 25; closes on April 27,2023-04-17 19:20:00
3,"  ITC @ 400: Patience, payback, and a puff of smoke",2023-04-17 18:19:00
4,  Warren Buffett shows investors how to broaden their horizons,2023-04-17 18:10:00
5,  Hathway Cable & Datacom Q4 net loss at Rs 14.61 crore,2023-04-17 17:40:00
6,"  Technical View | Nifty forms bearish engulfing pattern, defends downward sloping resistance trendline",2023-04-17 17:07:00
7,  Gainers & Losers: 10 stocks that moved the most on April 17,2023-04-17 16:38:00
8,"  Taking Stock: IT rout sinks market; Sensex down 520 points, Nifty below 17,750",2023-04-17 16:55:00
9,  Moneycontrol Pro Panorama | First flush of results disappoint investors: Reading the tea leaves,2023-04-17 15:28:00
10,  LIVE: IT stocks in freefall post Infosys earnings | Tata Motors & HDFC Bank in focus | Closing Bell,2023-04-17 15:25:00
11,"  Gold can scale record high of $2,100 on robust demand, says Emkay Wealth",2023-04-17 15:00:00
12,"  Road infra: Q4 results to reflect softening input costs, better NHAI awarding and execution",2023-04-17 14:50:00
13,  Will Avalon Technologies make investors happy on listing day on April 18?,2023-04-17 14:17:00
14,  This small-cap stock zooms 16% after ace investor Vijay Kedia picks up stake,2023-04-17 14:03:00
15,"  ITC tops Rs 400, analysts see 10% upside while investors eye Rs 500",2023-04-17 14:12:00
16,  HDFC Bank records sharp rise of nearly 30% in gold loans,2023-04-17 13:42:00
17,  Nuvama sees high risk of OAI classification as Lupin facility faces US FDA heat,2023-04-17 13:38:00
18,  Commodities LIVE: Metals firm on decline in USD; Copper prices in focus,2023-04-17 13:12:00
19,"  Margins will fall, but to where?",2023-04-17 12:36:00
20,  TV-18 spurts 3% on the back of a strategic deal for subsidiary Viacom 18,2023-04-17 12:39:00
21,"  L&T takes a beating as IT contagion sinks LTIMindtree, L&T Tech Services",2023-04-17 12:24:00
22,  GTPL Hathway shares crash 11% on Rs 124-million loss in March quarter,2023-04-17 12:18:00
23,"  Bleeding tech stocks, Fed fears, and other factors behind 1.2% slump in markets",2023-04-17 11:49:00
24,"  Camlin Fine Sciences rallies 14% as promoter, Infinity Holdings launch open offer",2023-04-17 11:48:00
25,  KIOCL's shares rally 14% after bagging two orders worth Rs 3.81 crore,2023-04-17 11:34:00
26,"  US banking crisis far from over, stocks can sink another 27%: Jeremy Grantham",2023-04-17 11:15:00
27,"  F&O Manual: As Nifty hits day's low, traders position themselves for bounce back",2023-04-17 10:53:00
28,  Gold Prices Today: Yellow metal rises as traders assess Fed policy stance,2023-04-17 10:47:00
29,  What makes Q4 disappointment a bigger pain for Infosys than TCS?,2023-04-17 10:44:00
