,Headline,Date
0,"  SEBI delivers final order in Karvy demat scam, cracks down on MD and directors",2023-04-28 22:52:00
1,  CARE controversy: Don’t blame the business model of credit rating agencies for compromises on ethics,2023-04-28 19:06:00
2,"  The Reading List: April 28, 2023",2023-04-28 18:54:00
3,  India's 1st NFT Marketplace For Content Creators | Blockchain Company 3DOT Corp CEO On Moneycontrol,2023-04-28 18:13:00
4,"  Business in the Week Ahead (May 1-5, 2023)",2023-04-28 17:58:00
5,"  Technical View | Momentum strong but further rally possible if Nifty holds 18,000, India VIX at 40-month low",2023-04-28 17:08:00
6,  Gainers & Losers: 10 stocks that moved the most on April 28,2023-04-28 18:06:00
7,"  Nifty above 18,000, Sensex gains 460 pts; all sectors in the green | BAJAR GUPSHUP",2023-04-28 16:00:00
8,"  Taking Stock: Friday cheer for market; Sensex up 463 points, Nifty reclaims 18,000",2023-04-28 16:30:00
9,  SEBI’s Brightcom order: Many firsts in a complex area that needs many more orders for conclusive jurisprudence,2023-04-28 15:13:00
10,  India to import 140 tonnes of gold from UAE at lower duty,2023-04-28 14:57:00
11,  Moneycontrol Pro Panorama | The irresistible world of credit cards,2023-04-28 14:51:00
12,  Glenmark Life hits 52-week high as strong Q4 earnings bolsters sentiment,2023-04-28 13:24:00
13,  Trent falls 3% as Zudio hits Q4 margins,2023-04-28 13:17:00
14,  F&O Manual | Nifty build on gains from last session as traders push index higher,2023-04-28 12:11:00
15,  March quarter earnings a positive surprise; banking in India is robust: Raamdeo Agrawal,2023-04-28 14:38:00
16,  Mohamed El-Erian: Policymakers and business need to adapt better to structural uncertainty,2023-04-28 11:57:00
17,  Wipro Q4 FY23 – A subdued quarter somewhat saved by a large buyback,2023-04-28 11:47:00
18,  HUL marks steady end to FY23 but brokerages trim EPS estimates on Q4 miss,2023-04-28 11:49:00
19,  IRB Infra gains 4% on bagging infra project from Hyderabad civic body,2023-04-28 11:27:00
20,  Motilal Oswal drops 3% after net profit tanks 45% YoY,2023-04-28 11:14:00
21,  RVNL jumps 8% on Rs 121-crore order win,2023-04-28 11:10:00
22,  NSE smoothens corporate action impact on indices,2023-04-28 11:09:00
23,  Why the dividend policy on Gujarat PSUs can backfire,2023-04-28 12:28:00
24,  Aarti Surfactants zooms 17% on twofold jump in Q4 profit,2023-04-28 10:54:00
25,  Shriram Finance shares decline 6.57% despite 18% surge in Q4 net profit,2023-04-28 10:18:00
26,"  India’s banks have it all, except caution",2023-04-28 19:18:00
27,  PI Industries surges 9% on buying stake in Indian subsidiaries of US pharma firm,2023-04-28 10:05:00
28,"  Pharma Q4 preview: US launches, steady domestic growth to drive recovery",2023-04-28 09:29:00
29,"  Sebi bans 3 individuals, 2 entities in LIC front-running case",2023-04-28 09:56:00
30,  Personal Finance: Should investors consider subscribing to NFOs?,2023-04-28 19:29:00
31,  Brokerages forecast 6.7% rise in Kotak Mahindra Bank net profit for Q4,2023-04-28 09:17:00
32,  Axis Bank Q4 FY23 – decent show masked by Citi acquisition cost,2023-04-28 09:13:00
33,"  Axis Bank slips 2% on net loss in Q4, here's what brokerages say",2023-04-28 10:09:00
34,  Soda ash bonanza shows signs of ebbing for Tata Chemicals,2023-04-28 09:03:00
35,  HUL is finding it difficult to get off the inflation tiger,2023-04-28 09:02:00
36,  Markets Live: IT cos continue to disappoint | Buybacks to be a saviour? | Opening Bell,2023-04-28 08:55:00
37,  Nifty has been complacent – Is this the calm before the storm?,2023-04-28 08:47:00
38,  Buyback boosts Wipro but brokerages cautious on muted Q4 numbers,2023-04-28 10:05:00
39,"  Market Live: Nifty at 10-week high; Top Themes to bet on? Axis Bank, Tech M, Wipro in focus",2023-04-28 08:27:00
40,  Daily Voice | This CIO believes markets are headed higher due to reasonable stock prices & growth in corporate earnings,2023-04-28 09:39:00
41,"  Oil set for second weekly drop as recession fears, rates cloud outlook",2023-04-28 08:02:00
42,  Asian stocks surge ahead of BoJ policy decision,2023-04-28 07:59:00
43,  Zomato delivers over 20% return in one month. Will it surpass 200-day EMA soon?,2023-04-28 07:55:00
44,"  Buzzing Stocks: Axis Bank, Tech Mahindra, Wipro, GCPL, others in news today",2023-04-28 08:29:00
45,"  Hot Stocks | GMR Airports Infra, Alkem Laboratories, GSFC may fetch up to 21% in short term",2023-04-28 07:38:00
46,"  Trade Spotlight | Your game plan for Vijaya Diagnostic Centre, BSE, Poonawalla Fincorp today",2023-04-28 07:35:00
47,"  Closing Bell: Nifty above 18,000, Sensex gains 463 pts; all sectors in the green",2023-04-28 15:55:00
48,  Stock Market Today: Top 10 things to know before the market opens,2023-04-28 07:40:00
49,"  Amazon sees cloud slowdown in April, shares erase gains",2023-04-28 06:41:00
50,  Wall Street rallies as earnings season boost offsets economy worries,2023-04-28 06:36:00
51,  Cash Market | GE Shipping looks to sail ahead,2023-04-28 06:32:00
52,  Cash Market | Apollo Tyres is breaking out of a rectangle trend continuation pattern,2023-04-28 06:31:00
53,  Options Trade | An earning-based non-directional options strategy in IDFC First Bank,2023-04-28 06:29:00
54,  Cash Market | A multi-month breakout in Tanla Platforms,2023-04-28 06:27:00
55,  Commodity Futures | A double bottom breakout in Zinc,2023-04-28 06:26:00
56,  Trade setup for today: Top 15 things to know before the opening bell,2023-04-28 08:35:00
57,  HUL chief Sanjiv Mehta sees end to volatility in 4-5% volume growth for FMCG,2023-04-28 06:52:00
58,  We didn't overpay for Raymond's FMCG business: GCPL vows to level off margins,2023-04-28 09:33:00
59,"Glenmark Life shares up over 5%, touches new 52-week high on strong Q4 results",2023-04-28 23:10:00
60,Nifty surpasses 18K mark after 44 days,2023-04-29 00:13:00
61,First Republic Bank plunges 50% to hit record low amid takeover concerns of FDIC,2023-04-28 22:43:00
62,"Wall Street gyrates, Treasury yields fall amid mixed data, earnings",2023-04-28 21:32:00
63,"Mahindra Group stock declares ₹92 per share dividend, 60% profit growth in Q4",2023-04-28 21:27:00
64,Wall Street bets big on Microsoft after its investment in in OpenAI,2023-04-28 21:18:00
65,IT stock declares whopping dividend of ₹225 per share: Do you own?,2023-04-28 21:00:00
66,"Supreme Industries recommends final dividend of 1000%, Q4 PAT rises 11%, operating profit saw a robust growth",2023-04-28 19:33:00
67,"Board of IndiaMart sets record date for 200% dividend and 1:1 bonus shares, revenue up 33% in Q4",2023-04-28 18:34:00
68,"SBI Card Q4 results: Net profit up by 3% to ₹596 crore, revenue up 32%",2023-04-28 19:54:00
69,Bank of Maharashtra declares record date for dividend: Details inside,2023-04-28 18:48:00
70,"Vedant Fashions declares ₹9 per share dividend, net profit up 22% in Q4, revenue climbed 15% YoY",2023-04-28 19:41:00
71,"UltraTech Cement Q4FY23 Results: Net profit down 36%, declares dividend",2023-04-28 16:25:00
72,This healthcare stock gains 13% after 35.80% jump in Q4 PAT and 30.60% growth in,2023-04-28 17:07:00
73,"Top gainers, losers in trade today: SBI, Wipro, Axis Bank: check full list here",2023-04-28 16:26:00
74,Strong IPO pipeline expected in second half of year: EY,2023-04-28 16:09:00
75,Stock market today: Nifty reclaims 18k; investors richer by nearly ₹3 lakh crore,2023-04-28 16:42:00
76,Maruti Suzuki Q4FY23 profit jumps 42% YoY; here's what brokerages say,2023-04-28 15:20:00
77,Star Health rallies on 13% growth in gross written premium and highest ever PAT of Rs. 619 Cr in FY23,2023-04-28 15:15:00
78,Multibagger stock Apar Industries up 320% in last one year,2023-04-28 16:58:00
79,"Small cap industrial stock JTL Industries declares 93% PAT growth in Q4, Board declared dividend",2023-04-28 14:53:00
80,"Orient Cement Q4: Profit down by 7.9% at ₹67.4 cr, check dividend here",2023-04-28 14:50:00
81,Multibagger penny stock rallies over 3% as the company declares over 210% net profit growth in Q4,2023-04-28 14:29:00
82,"Delhi-NCR based business conglomerate Sindhu Trade plans to go debt free by 2023, scrip up over 1000% in 3 years",2023-04-28 14:05:00
83,"Multibagger stock Hardwyn India announces 1:3 bonus share and 1:10 stock split, scrip up over 150% in 1 year",2023-04-28 14:04:00
84,Multibagger penny stock jumps after receiving ₹7380 crore project. Do you own?,2023-04-28 13:35:00
85,It's a good time to invest in the markets: Vivek Sharma of Gulaq,2023-04-28 13:20:00
86,Bajaj Auto share price records new 52-week high,2023-04-28 12:58:00
87,First Republic Bank: US officials lead urgent talks for rescue,2023-04-28 12:34:00
88,Multibagger textile stock declares buyback of shares after 300% rally in 3 years,2023-04-28 12:12:00
89,Shriram Finance share price drops 7% after Q4 numbers; what should you do?,2023-04-28 11:55:00
90,PI Industries share price soars over 10%; Here's why,2023-04-28 11:00:00
91,ICICI Bank vs Axis Bank: Which stock to buy after strong Q4 results,2023-04-28 10:54:00
92,HUL share price slips 2% after Q4FY23 numbers; what should you do?,2023-04-28 10:45:00
93,Ultratech Q4 Results: Stock trades flat ahead of numbers,2023-04-28 10:19:00
94,HCL Tech share price falls as stock goes ex-dividend,2023-04-28 10:00:00
95,Axis Bank shares slip over 2% after Q4 loss; is it a buy or sell?,2023-04-28 10:00:00
96,Wipro Share Buyback: Investors cheer news as stock rises over 3%,2023-04-28 10:28:00
97,Global markets: SGX Nifty to US earnings — key triggers for stock market today,2023-04-28 07:57:00
98,"Stocks to Watch on April 28: Wipro, Axis Bank, Godrej Consumer, Raymond, TechM",2023-04-28 09:55:00
99,Buy or sell: Vaishali Parekh recommends three stocks to buy today — April 28,2023-04-28 06:48:00
100,Day trading guide for today: Six stocks to buy or sell today — 28th April,2023-04-28 06:49:00
101,Amazon Q1 revenue beats estimates,2023-04-28 02:18:00
102,"Global markets update: US stocks soar on strong tech earnings, Nasdaq climbs 2.27%",2023-04-28 01:51:00
103,"Kotak Bank Q4 preview: NII and PAT growth to dividend, key factors here",2023-04-28 06:11:00
104,Indian Hotels reports 65% increase in consolidated revenue for FY23,2023-04-27 23:01:00
105,Tata-owned retailer Trent doubles FY23 revenues,2023-04-27 22:56:00
106,ACC net profits decline 40% year-on-year on higher costs,2023-04-27 22:33:00
107,"Axis Bank, Bajaj Finserv, HUL Q4 numbers; here's what investors should know",2023-04-27 22:05:00
108,"ACC Q4 Results: Consolidated PAT falls 40% to ₹235 cr, check dividend here",2023-04-27 22:24:00
109,"Sebi bans Karvy Stock Broking, promoter from securities market for 7 years; fines Rs 21 crore",2023-04-28 21:26:00
110,Sebi slaps Rs 75 lakh fine on 15 entities for non-genuine trades,2023-04-28 21:20:00
111,​Sensex up for 7th straight session; 6 BSE Financial Services stocks hit 52-week highs,2023-04-28 18:17:00
112,Sebi cancels Pragya Commodity Brokers' registration in NSEL case,2023-04-28 19:35:00
113,Global money market funds see big inflows in the week to April 26,2023-04-28 19:22:00
114,"US stocks open lower as Amazon drags, inflation worries persist",2023-04-28 19:12:00
115,NSE warns investors against entities running dabba trading activities,2023-04-28 18:31:00
116,Tech View: Nifty OI data hints runaway rally unlikely. What should traders do next week,2023-04-28 17:25:00
117,"Nifty headed towards 18,500 in May. Should you buy on dips now?",2023-04-28 16:31:00
118,"Sensex rises for 7th day, up 463 points; investors gain Rs 2.66 lakh crore",2023-04-28 16:17:00
119,"Sensex ends 463 pts higher; Nifty above 18,000; Ceat surges 11%, Axis Bank sheds 3%",2023-04-28 15:49:00
120,"PI Industries stock zooms 13%, hits two-month high on pharma acquisitions",2023-04-28 14:56:00
121,Trend Tracker: HDFC Bank fails to emerge among top Nifty performers during 4 FII bull runs,2023-04-28 14:55:00
122,​4 stocks turn multibaggers even as MFs cut stakes for 4 quarters,2023-04-28 17:07:00
123,LTIMindtree shares rise 3% after Q4 report card. What should investors do?,2023-04-28 13:42:00
124,Japan's Nikkei hits 8-month high after BOJ keeps stimulus,2023-04-28 13:39:00
125,"European shares rise on strong earnings, Q1 GDP data on tap",2023-04-28 13:37:00
126,Buyback cushions Wipro stock after subdued March quarter earnings,2023-04-28 13:25:00
127,"SEBI bans 5 entities in LIC front running case, impounds Rs 2.44 crore",2023-04-28 13:10:00
128,"Glenmark Life zooms 9%, hits 52-week high after Q4 results",2023-04-28 12:52:00
129,"Indus Towers shares jump 10% post Q4 results. Should you buy, sell or hold?",2023-04-28 12:43:00
130,PSUs vs private banks: Which side will bulls lean after Q4 show?,2023-04-28 14:32:00
131,Weekly Top Picks: These stocks scored 10 on 10 on Stock Reports Plus,2023-04-28 14:08:00
132,Crude connection: 4 stocks with 'hold' ratings & 3 stocks where analysts have upped scores to 'buy',2023-04-28 12:19:00
133,Nifty Financial Services index stocks which analysts suggest buying for up to 37% returns,2023-04-28 11:59:00
134,"Wipro share buyback may hide weak FY24 outlook. Should you buy, sell or hold?",2023-04-28 11:38:00
135,IPO activity to pick up pace in 2nd half of 2023: Report,2023-04-28 11:29:00
136,"Chart Check: Siemens hit fresh record high in April: should you buy, sell or hold?",2023-04-28 11:00:00
137,"Buy, sell or hold? What investors should do after Axis Bank's Rs 5,700 crore loss",2023-04-28 10:33:00
138,"At multi-year highs: ITC, Nestle among 7 stocks that gave 5-year breakouts",2023-04-28 10:28:00
139,"BOJ keeps ultra-low rates, decides to conduct policy review",2023-04-28 10:13:00
140,Trade Talk: With initial investment of Rs 2 lakh learn to deploy Rolling Straddle: Puneet Tewani,2023-04-28 10:00:00
141,"HCL Tech, Sanofi India trade ex-dividend today",2023-04-28 09:57:00
142,"Sensex, Nifty kick off May F&O series on tepid note amid losses in financials",2023-04-28 09:53:00
143,"Sensex rises 80 points, Nifty above 17,900; Wipro gains 2%",2023-04-28 09:49:00
144,Death Crossovers: Gujarat Gas among 4 stocks that signal bearishness,2023-04-28 09:52:00
145,A trucking giant revs up as a Bank goes Bullish to Sideways,2023-04-28 10:47:00
146,"Q4 results today: What UltraTech, SBI Card, Star Health and IndiaMart numbers might look like",2023-04-28 09:22:00
147,"Buy or Sell: Stock ideas by experts for April 28, 2023",2023-04-28 08:57:00
148,Positive Breakout: Hindalco among 5 stocks that crossed their 200 DMAs,2023-04-28 09:08:00
149,"Stocks in focus: Trent, GAIL and more",2023-04-28 08:48:00
150,An oil giant and a finance company with potential to rise 3% to 4.5%,2023-04-28 08:42:00
151,"Big Movers on D-St: What should investors do with Raymond, Glenmark Pharma and KPIT Technologies?",2023-04-28 08:41:00
152,Zuckerberg’s fortune jumps $10 billion on Meta sales rebound,2023-04-28 08:32:00
153,US stock market: Nasdaq rallies as earnings season boost offsets economy worries,2023-04-28 08:27:00
154,Asian stocks surge ahead of BOJ policy decision,2023-04-28 08:01:00
155,"Amazon sees cloud slowdown in April, shares erase gains",2023-04-28 08:56:00
156,"Stocks in news: Axis Bank, Wipro, UltraTech Cement, Tech Mahindra, SBI Cards, SpiceJet",2023-04-28 11:44:00
