,Headline,Date
0,  Trade setup for Tuesday: Top 15 things to know before the opening bell,2023-04-24 22:33:00
1,"  Mankind Pharma raises Rs 1,298 crore via anchor book ahead of IPO",2023-04-24 21:30:00
2,  World's richest man Bernard Arnault has some giant competition,2023-04-24 18:20:00
3,"  F&O Manual: As Nifty finds its mojo, 17,500 strong support for the index",2023-04-24 17:31:00
4,"  Technical View | Nifty sees breakout of Bullish Flag formation, 17,860 crucial for further upside",2023-04-24 16:56:00
5,"  Bajaj Auto Q4FY23 preview| Revenue and profit figures to improve YoY, to decrease QoQ",2023-04-24 16:42:00
6,  Gainers & Losers: 10 stocks that moved the most on April 24,2023-04-24 16:33:00
7,"  LIVE: Nifty closes at 17,743; Sensex gains 401 points | Bajar Gupshup",2023-04-24 16:13:00
8,  NSE warns against 2 entities running 'illegal' guaranteed return schemes,2023-04-24 16:39:00
9,  Are pharma cos poised for a bull ride? Here's what analysts believe,2023-04-24 16:09:00
10,  Tamilnad Mercantile Bank shares gain after March quarter earnings,2023-04-24 16:06:00
11,"  Taking stock: Sensex jumps 410 points to reclaim 60k, Nifty closes in on 17,750",2023-04-24 17:09:00
12,  Moneycontrol Pro Panorama | A capital idea whose time is coming,2023-04-24 15:44:00
13,"  Rail Vikas Nigam hits record high with robust volumes, experts see at three-digit soon",2023-04-24 15:27:00
14,  Bank of Maharashtra Q4 results: Net profit climbs 135% YoY to Rs 840 crore,2023-04-24 15:06:00
15,"  Markets will bottom out in next 1-2 quarters, says Vinit Sambre of DSP MF",2023-04-24 15:37:00
16,  Bank of Maharashtra share rallies over 5% after robust Q4 results,2023-04-24 14:56:00
17,"  IndusInd Bank Q4 earnings: Net profit zooms 50% to Rs 2,040 crore",2023-04-24 15:01:00
18,  Expect a very stable performance from Hindustan Zinc quarter-on-quarter: HZL CEO,2023-04-24 14:02:00
19,  Redefine microfinance intermediaries' role to survive competition from fintech,2023-04-24 13:53:00
20,  Want to be the next Rakesh Jhunjhunwala?,2023-04-24 16:24:00
21,  Yes Bank: Why it remains a no despite expected earnings traction,2023-04-24 13:27:00
22,  Gold Prices Today: Yellow metal a tad down as fear of US rate hikes jitters investors,2023-04-24 12:20:00
23,  Ami Organics shares surge 4% on plans to acquire 55% in Baba Fine Chemicals,2023-04-24 12:26:00
24,  Wipro trades up 2% on plans to review share buyback proposal,2023-04-24 11:47:00
25,  Yes Bank shares trade 4% down on poor Q4 numbers,2023-04-24 11:58:00
26,"  F&O Manual | As market struggles, traders keep treading the neutral path",2023-04-24 11:33:00
27,"  Hero Motocorp stays on top gear on robust sales, hopes of demand revival",2023-04-24 18:55:00
28,  Maharashtra Seamless surges 4% on Rs 262 crore-order win,2023-04-24 11:03:00
