,Headline,Date
0,"  The Reading List: May 5, 2023",2023-05-05 19:36:00
1,"  Britannia Q4 results | Net profit rises 47% to Rs 559 crore, revenue up 13%",2023-05-05 18:17:00
2,  Dedollarisation efforts will make only a small dent in the greenback’s dominance,2023-05-05 17:45:00
3,  Gainers & Losers: 10 stocks that moved the most on May 5,2023-05-05 17:12:00
4,"  Technical View | Nifty forms Shooting Star pattern on weekly charts, 18,000 crucial for upside",2023-05-05 17:08:00
5,"  Taking Stock: HDFC twins take the market down with them, Sensex sinks 695 points",2023-05-05 17:30:00
6,"  Marico Q4 net profit up 18% at Rs 305 crore, revenue rises 3.6%",2023-05-05 16:35:00
7,  AurionPro Solutions shares jump 6% on RBI nod to operate as payment aggregator,2023-05-05 15:50:00
8,"  LIVE: Sensex, Nifty back in the red; TVS Motor, Dabur & HDFC in focus",2023-05-05 15:39:00
9,  Bharat Forge shares correct after fall in profitability in Q4,2023-05-05 15:16:00
10,  25 years of LTCM collapse: No lessons learnt as US bank crises show,2023-05-05 15:13:00
11,  Moneycontrol Pro Panorama | A two-speed Chinese economy,2023-05-05 14:54:00
12,  FACT shares slump 10% as Q4 net profit slides 27%,2023-05-05 13:52:00
13,  BHEL leads losers' league on Nifty 200 as profit-taking sends stock down 7%,2023-05-05 13:08:00
14,  Chegg is a harbinger of AI’s disruptive force,2023-05-05 13:03:00
15,  Oil set for worst run this year as recession fears rattle market,2023-05-05 12:56:00
16,  F&O Buzzer: Federal Bank suffers bearish pressure ahead of earnings,2023-05-05 12:38:00
17,  Sundram Fasteners stock hits record high with 5% gain on robust Q4 earnings,2023-05-05 12:17:00
18,"  CEAT zooms on 5x rise in Q4 profits, surprise gross-margin growth",2023-05-05 12:11:00
19,"  Debt default, banking crisis key concerns for US economy, says economist David Rosenberg",2023-05-05 11:38:00
20,"  Stable macro data, earnings trigger FPI buying in Indian shares in April: NSDL",2023-05-05 11:18:00
21,"  Sebi to tell brokers, funds to limit use of financial influencers: Report",2023-05-05 11:16:00
22,  Dabur India down for second day on weak Q4 but brokerages still upbeat. Here's why,2023-05-05 10:56:00
23,  Demat account openings hit lowest since Dec 2020 at 1.6 million as volatility continues,2023-05-05 10:55:00
24,  AGI Greenpac jumps 20% on robust Q4 numbers,2023-05-05 10:29:00
25,"  Rs 12000 cr capex planned for FY24, RE focus in future: Tata Power CEO & MD Praveer Sinha",2023-05-05 10:27:00
