,Headline,Date
0," Fidelity Investments, Societe Generale pick 2.98% stake in Campus Activewear",2023-03-24 21:45:00
1, Ace investor Sunil Singhania's Abakkus picks 1.74% stake in TTK Healthcare,2023-03-24 21:36:00
2, Finance Bill amendments: A story in memes,2023-03-24 18:19:00
3," Technical View | Nifty forms bearish candle, 16,800 is the level to watch",2023-03-24 17:21:00
4," STT on sale of options to be hiked by 25%, Finance Ministry clarifies",2023-03-24 18:15:00
5," The Reading List: March 24, 2023",2023-03-24 17:13:00
6, Gainers & Losers: 10 stocks that moved the most on March 24,2023-03-24 17:07:00
7, Not just debt funds – gold and international funds to also lose from Finance Bill amendment,2023-03-24 20:21:00
8," Taking Stock | Sensex slips 398 points, Nifty below 17,000; PSU bank, metal, realty worst hit",2023-03-24 16:30:00
9," LIVE: Nifty below 17,000-mark; Cipla among biggest gainers | Bajar Gupshup",2023-03-24 15:47:00
10," Debt MF changes negative for MFs, marginally positive for life insurers: CLSA",2023-03-24 15:41:00
11," Business in the Week Ahead March (27-31, 2023)",2023-03-24 15:11:00
12," Udayshivakumar Infra IPO | Check share allotment and listing dates, latest grey market premium",2023-03-24 15:03:00
13, Live: Debt Mutual Funds Lose LTCG Taxation Benefit; Decoding The Impact | Finance Bill 2023,2023-03-24 14:38:00
14, Banking Turmoil Sparks Increased Risk Perception Among Fund Managers: BofA Survey,2023-03-24 14:35:00
15," ‘Finfluencer’ openly flouts norms, implies assured returns of over 11,800% CAGR",2023-03-24 14:41:00
16, Moneycontrol Pro Panorama | Banking fragility and the heavy hand of the State,2023-03-24 14:07:00
17," Jefferies' Chris Wood: India set for renewed outperformance vis-à-vis Asian, EM peers",2023-03-24 13:36:00
18, Kotak retains 'reduce' rating on Biocon; lowers target price,2023-03-24 13:11:00
19, One Year Of Yogi 2.0: Much rides on UP CM’s pivot towards big-ticket investment,2023-03-24 23:51:00
20, F&O trading: Govt's STT hike leaves traders confused,2023-03-24 14:31:00
21, Emami approves Rs 186-crore buyback plan at Rs 450 a share,2023-03-24 12:38:00
22, HDFC Securities initiates coverage on Hitachi Energy with ‘Add’ rating,2023-03-24 14:26:00
23," RIL tariff concerns look overdone, expect 36% upside, says Jefferies",2023-03-24 12:35:00
24, US watchdog cautions against the risks of investing in crypto asset securities,2023-03-24 12:08:00
25," Copper price to surge to record high this year, Trafigura forecasts",2023-03-24 11:57:00
26, Discontinuation of 'Do not exercise' a needless step,2023-03-24 19:02:00
27, F&O Manual: Analysts see chances of Nifty bouncing back,2023-03-24 11:20:00
28," Vedanta opens strong on possibility of strategic sale, but goes flat",2023-03-24 10:55:00
29, Rail Vikas Nigam shares gain JV bags project worth Rs 252 crore in Gujarat,2023-03-24 10:32:00
30," Bank of England, Fed may regret not pausing on rate hikes",2023-03-24 10:30:00
31, Asian Energy doubles in a month despite rating downgrade over deterioration financial performance and credit metrics,2023-03-24 12:22:00
32," BEL gains on Rs 3,800 crore-order wins from Defence Ministry",2023-03-24 10:01:00
33, Weekly Tactical: This luggage stock can take off post a significant correction,2023-03-24 09:53:00
34," Lupin gets tentative USFDA approval for obeticholic acid tablets, shares gain",2023-03-24 09:49:00
35, Campus Activewear falls after large block deal; TPG likely seller,2023-03-24 09:39:00
36," Market Live: Will IT stocks come to rescue? Will Nifty hold onto 17,000 level? | Opening Bell",2023-03-24 09:06:00
37," Asian shares falter on banking concerns, bonds bet on last rate hikes",2023-03-24 09:06:00
38," Stock Market Live: IT In Focus As Accenture Trims Forecast; How To Play Paint Stocks, Vedanta",2023-03-24 08:31:00
39, Short Call: No DNE rule by NSE changes definition of options for buyers,2023-03-24 08:30:00
40, Iran-Saudi Arabia détente & Nowruz: New beginnings in the Middle East,2023-03-24 08:30:00
41, Investors should take cues from the Fed’s approach,2023-03-24 08:23:00
42," Closing Bell: Nifty below 17,000, Sensex falls 398 pts; all sectors in the red",2023-03-24 16:14:00
43, Stock Market Today: Top 10 things to know before the market opens,2023-03-24 07:05:00
44," Trade Spotlight | Your strategy for Aegis Logistics, Triveni Turbine, APL Apollo Tubes today",2023-03-24 06:51:00
45, Oil falls as US holds off refilling strategic reserve,2023-03-24 06:50:00
46," Daily Voice | Expect more challenges and M&A activity in US & EU banking space, says Sahil Kapoor of DSP Investment Managers",2023-03-24 06:49:00
47," Hot Stocks | KPIT Technologies, SRF, NCC may fetch 13% return in short term",2023-03-24 06:37:00
48," Buzzing Stocks | Tata Steel, Petronet LNG, Rail Vikas Nigam, and others in the news today",2023-03-24 06:37:00
49, Commodity Futures | A trendline breakout suggests an upside move in Zinc,2023-03-24 06:17:00
50, Options Trade | A non-directional options strategy in State Bank of India,2023-03-24 06:16:00
51, Cash Market | Valiant Organics showing relative strength versus peers,2023-03-24 06:15:00
52, Futures Trade | Bearish Marubozu and breakdown suggest fall in LIC Housing Finance,2023-03-24 06:12:00
53," Cash Market | Ashapura Minechem is breaking out of a huge, nine-month-old rounding pattern",2023-03-24 06:12:00
54, Wall Street ends higher as Janet Yellen vows actions to safeguard deposits,2023-03-24 06:04:00
55, Trade setup for Friday: Top 15 things to know before the opening bell,2023-03-24 07:42:00
56, Govt to exercise green shoe option for HAL's OFS after robust response,2023-03-24 09:55:00
57,Sunil Singhania's Abakkus picks stake in TTK Healthcare via block deal,2023-03-24 21:57:00
58,Eicher Motors vs Hero MotoCorp vs TVS Motor: Which stock can give good returns?,2023-03-24 19:06:00
59,₹1.52 lakh crore investor wealth gone in last six sessions: What's next?,2023-03-24 18:21:00
60,"Adani group stocks: Nine are down in FY23, expect once; mcap tanks",2023-03-24 17:42:00
61,"Sensex, Nifty fall nearly 1% each on STT hike, other concerns",2023-03-24 16:57:00
62,"NSE to roll back 6% hike in transaction charges, effective 1 April",2023-03-24 16:47:00
63,Debt MF changes: Negative for MFs; marginally positive for life insurance,2023-03-24 14:26:00
64,Why F&O trading will attract more tax from next month — explained,2023-03-24 14:09:00
65,Emami approves buyback of shares at 25% premium. 5 key things you should know,2023-03-24 13:04:00
66,"Rail Vikas Nigam declares interim dividend. Record, payment date details here",2023-03-24 13:00:00
67,Why AMC stocks are at a low ebb,2023-03-24 12:57:00
68,LIC plans investment exposure caps post Adani share rout: Report,2023-03-24 12:24:00
69,"SAIL share price: Dividend stock dips on record date. Buy, hold or exit?",2023-03-24 12:16:00
70,"MSCI review: HAL, Ashok Leyland to be added to India Standard Index; shares rise",2023-03-24 11:50:00
71,Ajanta Pharma share buyback record date set for today. Key details in 5 points,2023-03-24 10:03:00
72,Here's how Pidilite and IKEA can help you find your multibagger stock,2023-03-24 09:42:00
73,Emami board to consider buyback of shares today. Details here,2023-03-24 09:29:00
74,PNB's board to consider fundraising via AT1 bonds issue next week,2023-03-24 09:00:00
75,Global markets: SGX Nifty to Block Inc shares — key factors that you should know,2023-03-24 08:28:00
76,"HAL, Biocon among stocks under F&O ban on NSE today",2023-03-24 08:03:00
77,"Stocks to Watch: Adani Ports, Indigo, Vedanta, Adani Power, SpiceJet",2023-03-24 07:18:00
78,Buy or sell: Vaishali Parekh recommends 3 stocks to buy today — March 24,2023-03-24 06:47:00
79,Day trading guide for today: 5 stocks to buy or sell on Friday — 24th March,2023-03-24 05:57:00
80,US stocks end higher after Janet Yellen’s reassurance on bank deposits,2023-03-24 02:20:00
81,Cash mkt volumes drop 20% in FY23,2023-03-24 00:37:00
82,"Adani Total Gas, Adani Transmission to move to long term ASM Stage-1 framework from Monday",2023-03-25 00:27:00
83,BNP Paribas Arbitrage sells Bharti Airtel shares worth Rs 105 crore,2023-03-24 23:29:00
84,​These 10 FMCG stocks hit a new 52-week low; tumble up to 35% in a month,2023-03-24 21:51:00
85,Reliance Industries names Srikanth Venkatachari as new CFO,2023-03-24 23:24:00
86,"HAL OFS successful despite tough markets as QIBs, retail investors show high interest",2023-03-24 22:16:00
87,Volcker slayed inflation. Bernanke saved the Banks. Can Powell do both?,2023-03-24 22:07:00
88,Banking stocks slide as global investors seek safer shores,2023-03-24 21:55:00
89,"Tough times for scalpers, arbitrageurs & HFT firms as STT hike in F&O will hurt volumes",2023-03-24 20:51:00
90,6 income tax saving ways for investors to optimise returns in NPS scheme,2023-03-24 20:03:00
91,Wall Street recovers as Fed officials calm bank fears,2023-03-25 00:20:00
92,FinMin clarifies on confusion over STT hike following typographical error,2023-03-24 19:03:00
93,7 stocks to get delisted from exchanges soon. Do you own any?,2023-03-24 19:01:00
94,"Tech View: Nifty charts hint at downside towards 16,800 levels. What should traders do next week",2023-03-24 17:43:00
95,Zerodha’s new Demat account opening back to March 2020 levels: Nithin Kamath,2023-03-24 17:40:00
96,NSE rolls back 6% hike in transaction charges on equity and F&O trades,2023-03-24 16:53:00
97,"Sensex plunges for 2nd straight day, ends 398 pts lower; Nifty below 16,950",2023-03-24 16:15:00
98,"Sensex, Nifty fall for 3rd week on STT hike on derivatives, banking concerns",2023-03-24 16:23:00
99,European stocks fall as Deutsche Bank leads rout in banks,2023-03-24 16:09:00
100,"Deutsche Bank shares plunge, default insurance hits four-year high",2023-03-24 16:04:00
101,Finance Ministry clarifies on confusion over STT hike on selling options,2023-03-24 19:04:00
102,Ashok Leyland HAL may be added to MSCI India Standard Index,2023-03-24 15:22:00
103,"LTCG benefit removed for Debt mutual funds, FoFs & more",2023-03-24 16:40:00
104,Chris Wood says India poised  to outperform Asian & emerging market peers,2023-03-24 14:44:00
105,These 5 branded apparel stocks with ‘strong buy’ & ‘buy’ recos can rally up to 52%,2023-03-24 14:12:00
106,Weekly Top Picks: These stocks scored 10 on 10 on Stock Reports Plus,2023-03-24 12:58:00
107,Nirmala Sitharaman hikes STT on sale of options and futures by 25%,2023-03-24 17:18:00
108,Emami board approves Rs 186 crore-buyback at Rs 450/share,2023-03-24 12:44:00
109,Top Nifty Financial Services index stocks (ex-banks) analysts suggest buying this week,2023-03-24 12:42:00
110,HAL OFS: Retail portion subscribed over 19 times; stock up 4%,2023-03-24 12:27:00
111,"Tariff concern overdone! RIL stock can rally 37%, says Jefferies",2023-03-24 12:20:00
112,Debt MFs to lose sheen as LTCG tax benefit scrapped. Check out the alternatives,2023-03-24 13:46:00
113,$100 billion Adani stock rout may make LIC start capping investments: Report,2023-03-24 12:33:00
114,FY24 stock portfolio: 3 sectors with 80% win record in last 10 years,2023-03-24 12:12:00
115,Campus Activewear shares plunge over 8% amid block deal,2023-03-24 11:13:00
