,name,Engine,Mileage,Length,Height,Seating_Capacity,price,year,km,FuelType,Transmission,Owner
0,maruti-suzuki-swift,1197 ,21.21,3840 ,1530 ,5 ,785000.0,Jun 2019,32516 ,Petrol,Automatic,First
1,toyota-innova,2494 ,13.7,4585 ,1760 ,8 ,1075000.0,May 2015,63000 ,Diesel,Manual,First
2,maruti-suzuki-swift,1248 ,14.84,3760 ,1530 ,5 ,265000.0,Jun 2010,80200 ,Diesel,Manual,First
3,toyota-innova,2755 ,14.29,4735 ,1795 ,7 ,2275000.0,Jun 2019,107182 ,Diesel,Automatic,First
4,jeep-compass,1368 ,14.1,4395 ,1640 ,5 ,1900000.0,Jun 2020,18902 ,Petrol,Automatic,First
5,mercedes-benz-e-class,1950 ,12.06,5063 ,1494 ,5 ,4500000.0,Jun 2019,30000 ,Diesel,Automatic,Second
6,jeep-compass,1368 ,14.1,4395 ,1640 ,5 ,1375000.0,Dec 2017,54351 ,Petrol,Automatic,First
7,hyundai-creta,1582 ,17.01,4270 ,1630 ,5 ,1395000.0,Jun 2018,54000 ,Diesel,Automatic,First
8,hyundai-grand-i10,1197 ,19.77,3765 ,1520 ,5 ,475000.0,Apr 2018,40699 ,Petrol,Manual,First
9,hyundai-verna,1582 ,22.32,4370 ,1475 ,5 ,570000.0,Nov 2013,79592 ,Diesel,Manual,First
10,hyundai-grand-i10,1197 ,18.9,3765 ,1520 ,5 ,525000.0,Mar 2019,44620 ,Petrol,Manual,First
11,honda-city,1497 ,18.0,4440 ,1495 ,5 ,919999.9999999999,Jan 2018,22117 ,Petrol,Automatic,First
12,mini-cooper,1998 ,18.2,3850 ,1414 ,4 ,4200000.0,Oct 2021,11725 ,Petrol,Automatic,First
13,hyundai-creta,1591 ,15.29,4270 ,1665 ,5 ,1190000.0,Sep 2018,50824 ,Petrol,Automatic,First
14,maruti-suzuki-wagon-r,998 ,20.5,3599 ,1700 ,5 ,340000.0,Jul 2014,82772 ,Petrol,Manual,Second
15,maruti-suzuki-vitara-brezza,1248 ,24.29,3995 ,1640 ,5 ,670000.0,Jan 2017,78184 ,Diesel,Manual,First
16,maruti-suzuki-ciaz,1373 ,19.12,4490 ,1485 ,5 ,825000.0,Nov 2017,41468 ,Petrol,Automatic,First
18,tata-tiago,1047 ,27.28,3746 ,1535 ,5 ,395000.0,Aug 2017,62962 ,Petrol,Manual,First
19,maruti-suzuki-baleno,1197 ,21.4,3995 ,1500 ,5 ,878999.9999999999,Feb 2020,36861 ,Petrol,Manual,First
20,maruti-suzuki-s-presso,998 ,21.7,3565 ,1564 ,5 ,549000.0,Feb 2021,9649 ,Petrol,Manual,First
21,renault-kwid,799 ,25.17,3679 ,1478 ,5 ,300000.0,Aug 2016,10600 ,Petrol,Manual,First
22,hyundai-santro,1086 ,20.0,3610 ,1560 ,5 ,599000.0,Feb 2020,21594 ,Petrol,Manual,First
23,maruti-suzuki-vitara-brezza,1248 ,24.29,3995 ,1640 ,5 ,869999.9999999999,Jun 2019,44091 ,Diesel,Manual,Second
24,hyundai-verna,1582 ,22.32,4370 ,1475 ,5 ,550000.0,Aug 2014,79649 ,Diesel,Manual,Second
25,maruti-suzuki-wagon-r,998 ,26.6,3599 ,1700 ,5 ,475000.0,Mar 2018,89739 ,CNG,Manual,First
26,maruti-suzuki-celerio,998 ,21.63,3695 ,1560 ,5 ,595000.0,Jan 2022,12290 ,Petrol,Manual,First
27,volkswagen-ameo,1498 ,21.66,3995 ,1483 ,5 ,690000.0,Jun 2018,74290 ,Diesel,Manual,First
28,toyota-etios,1496 ,17.57,4265 ,1510 ,5 ,425000.0,Mar 2013,51602 ,Petrol,Manual,First
29,toyota-innova,2393 ,15.6,4735 ,1795 ,7 ,3050000.0,Jul 2021,19742 ,Diesel,Automatic,First
30,hyundai-verna,1591 ,17.01,4370 ,1475 ,5 ,1070000.0,May 2018,21136 ,Petrol,Manual,First
31,hyundai-alcazar,1493 ,18.1,4500 ,1675 ,6 ,1800000.0,Oct 2021,7239 ,Diesel,Automatic,First
32,toyota-innova,2393 ,15.6,4735 ,1795 ,8 ,1750000.0,Feb 2018,69691 ,Diesel,Automatic,Second
34,hyundai-elite-i20,1197 ,19.8,3985 ,1505 ,5 ,769000.0,Feb 2019,37957 ,Petrol,Manual,First
35,ford-endeavour,3198 ,10.91,4892 ,1837 ,7 ,2399000.0,Feb 2016,97593 ,Diesel,Automatic,Second
36,maruti-suzuki-celerio,998 ,23.1,3695 ,1560 ,5 ,479000.0,Feb 2016,57076 ,Petrol,Automatic,Second
37,maruti-suzuki-wagon-r,1197 ,20.52,3655 ,1675 ,5 ,649000.0,Feb 2021,10546 ,Petrol,Manual,First
38,hyundai-elite-i20,1197 ,19.8,3985 ,1505 ,5 ,799000.0,Feb 2019,61897 ,Petrol,Automatic,First
39,hyundai-creta,1591 ,15.29,4270 ,1630 ,5 ,1049000.0,Feb 2016,62355 ,Petrol,Manual,First
40,maruti-suzuki-baleno,1197 ,19.56,3995 ,1510 ,5 ,844999.9999999999,Feb 2018,21369 ,Petrol,Automatic,First
41,maruti-suzuki-swift,1197 ,22.0,3840 ,1530 ,5 ,699000.0,Feb 2018,22952 ,Petrol,Automatic,First
42,audi-q3,1968 ,15.17,4385 ,1608 ,5 ,3065000.0,Jan 2018,36950 ,Diesel,Automatic,First
43,renault-kwid,999 ,24.04,3679 ,1478 ,5 ,449000.0,Feb 2016,25369 ,Petrol,Automatic,First
44,skoda-octavia,1798 ,15.1,4670 ,1476 ,5 ,1798999.9999999998,Feb 2018,64921 ,Petrol,Automatic,First
45,tata-altroz,1199 ,18.1,3990 ,1523 ,5 ,795000.0,Jul 2021,9283 ,Petrol,Manual,First
46,honda-jazz,1199 ,19.0,3955 ,1544 ,5 ,621000.0,Oct 2016,25362 ,Petrol,Automatic,First
47,maruti-suzuki-alto-800,796 ,24.7,3430 ,1475 ,5 ,399000.0,Feb 2018,24858 ,Petrol,Manual,First
48,honda-city,1497 ,17.4,4440 ,1495 ,5 ,731000.0,Feb 2017,29370 ,Petrol,Manual,Second
49,maruti-suzuki-xl6,1462 ,19.01,4445 ,1700 ,6 ,1051000.0,Jan 2020,31848 ,Petrol,Manual,First
50,mahindra-xuv300,1197 ,17.0,3995 ,1627 ,5 ,844999.9999999999,Jul 2019,22237 ,Petrol,Manual,First
51,ford-ecosport,1499 ,15.6,3999 ,1708 ,5 ,828999.9999999999,Nov 2017,36253 ,Petrol,Automatic,First
52,maruti-suzuki-swift,1197 ,20.4,3850 ,1530 ,5 ,739000.0,Feb 2020,50670 ,Petrol,Manual,First
53,maruti-suzuki-swift-dzire,1248 ,23.4,3995 ,1555 ,5 ,570000.0,Jun 2015,55112 ,Diesel,Manual,First
54,maruti-suzuki-dzire,1197 ,21.21,3995 ,1515 ,5 ,700000.0,May 2018,32611 ,Petrol,Automatic,First
55,honda-city,1497 ,18.0,4440 ,1495 ,5 ,1125000.0,Feb 2020,41955 ,Petrol,Automatic,First
56,maruti-suzuki-ciaz,1462 ,20.28,4490 ,1485 ,5 ,1025000.0,Oct 2019,15362 ,Petrol,Automatic,First
57,renault-kwid,999 ,23.0,3731 ,1474 ,5 ,529000.0,Nov 2020,23936 ,Petrol,Manual,First
58,maruti-suzuki-swift-dzire,1248 ,23.4,3995 ,1555 ,5 ,570000.0,Jun 2015,55112 ,Diesel,Manual,First
59,maruti-suzuki-dzire,1197 ,21.21,3995 ,1515 ,5 ,700000.0,May 2018,32611 ,Petrol,Automatic,First
60,bmw-x3,1998 ,13.1,4708 ,1676 ,5 ,6500000.0,Jan 2022,13956 ,Petrol,Automatic,First
62,honda-jazz,1199 ,19.0,3955 ,1544 ,5 ,621000.0,Oct 2016,25362 ,Petrol,Automatic,First
63,honda-city,1497 ,17.4,4440 ,1495 ,5 ,731000.0,Feb 2017,29370 ,Petrol,Manual,Second
64,honda-city,1497 ,18.0,4440 ,1495 ,5 ,1125000.0,Feb 2020,41955 ,Petrol,Automatic,First
65,maruti-suzuki-ertiga,1462 ,19.01,4395 ,1690 ,7 ,1150000.0,Mar 2021,10417 ,Petrol,Manual,First
66,maruti-suzuki-ciaz,1373 ,20.729999542236328,4490 ,1485 ,5 ,665000.0,Oct 2016,68865 ,Petrol,Manual,First
67,hyundai-grand-i10,1197 ,18.9,3765 ,1520 ,5 ,479000.0,Feb 2014,50435 ,Petrol,Manual,First
68,maruti-suzuki-s-cross,1462 ,18.5,4300 ,1595 ,5 ,1149000.0,Feb 2021,5216 ,Petrol,Manual,First
69,ford-ecosport,1499 ,15.6,3999 ,1708 ,5 ,828999.9999999999,Nov 2017,36253 ,Petrol,Automatic,First
70,maruti-suzuki-swift,1197 ,20.4,3850 ,1530 ,5 ,739000.0,Feb 2020,50670 ,Petrol,Manual,First
71,maruti-suzuki-wagon-r,1197 ,20.52,3655 ,1675 ,5 ,649000.0,Feb 2021,10546 ,Petrol,Manual,First
73,ford-endeavour,3198 ,10.91,4892 ,1837 ,7 ,2399000.0,Feb 2016,97593 ,Diesel,Automatic,Second
74,hyundai-elite-i20,1197 ,19.8,3985 ,1505 ,5 ,769000.0,Feb 2019,37957 ,Petrol,Manual,First
75,skoda-octavia,1798 ,15.1,4670 ,1476 ,5 ,1798999.9999999998,Feb 2018,64921 ,Petrol,Automatic,First
76,renault-kwid,999 ,24.04,3679 ,1478 ,5 ,449000.0,Feb 2016,25369 ,Petrol,Automatic,First
77,maruti-suzuki-celerio,998 ,23.1,3695 ,1560 ,5 ,479000.0,Feb 2016,57076 ,Petrol,Automatic,Second
78,hyundai-elite-i20,1197 ,19.8,3985 ,1505 ,5 ,795000.0,Feb 2018,39389 ,Petrol,Automatic,First
79,kia-sonet,1493 ,19.0,3995 ,1647 ,5 ,1525000.0,Aug 2021,18450 ,Diesel,Automatic,First
81,maruti-suzuki-alto-800,796 ,24.7,3430 ,1475 ,5 ,399000.0,Feb 2018,24858 ,Petrol,Manual,First
82,hyundai-elite-i20,1197 ,19.8,3985 ,1505 ,5 ,719000.0,Feb 2019,57057 ,Petrol,Manual,First
83,hyundai-venue,998 ,18.15,3995 ,1605 ,5 ,1021000.0000000001,Jul 2019,24352 ,Petrol,Automatic,First
84,honda-jazz,1199 ,19.0,3955 ,1544 ,5 ,621000.0,Oct 2016,25362 ,Petrol,Automatic,First
85,maruti-suzuki-xl6,1462 ,19.01,4445 ,1700 ,6 ,1051000.0,Jan 2020,31848 ,Petrol,Manual,First
86,mahindra-xuv300,1197 ,17.0,3995 ,1627 ,5 ,844999.9999999999,Jul 2019,22237 ,Petrol,Manual,First
87,maruti-suzuki-baleno,1197 ,19.56,3995 ,1510 ,5 ,844999.9999999999,Feb 2018,21369 ,Petrol,Automatic,First
88,maruti-suzuki-swift,1197 ,22.0,3840 ,1530 ,5 ,699000.0,Feb 2018,22952 ,Petrol,Automatic,First
89,toyota-fortuner,2755 ,12.9,4795 ,1835 ,7 ,3151000.0,Sep 2017,39413 ,Diesel,Automatic,First
90,hyundai-creta,1591 ,15.29,4270 ,1630 ,5 ,1129000.0,Feb 2017,56674 ,Petrol,Automatic,First
91,tata-altroz,1199 ,18.1,3990 ,1523 ,5 ,795000.0,Jul 2021,9283 ,Petrol,Manual,First
92,maruti-suzuki-ciaz,1462 ,21.56,4490 ,1485 ,5 ,784000.0,May 2018,60651 ,Petrol,Manual,First
93,bmw-x3,1998 ,13.1,4708 ,1676 ,5 ,6500000.0,Jan 2022,13956 ,Petrol,Automatic,First
94,volkswagen-ameo,1198 ,17.83,3995 ,1483 ,5 ,595000.0,Jan 2019,40946 ,Petrol,Manual,First
95,maruti-suzuki-swift,1248 ,28.4,3840 ,1530 ,5 ,695000.0,Dec 2018,37842 ,Diesel,Automatic,First
96,ford-ecosport,1497 ,17.0,3998 ,1647 ,5 ,899000.0,Feb 2018,33175 ,Petrol,Manual,Second
97,hyundai-grand-i10,1197 ,18.9,3765 ,1520 ,5 ,479000.0,Feb 2014,50435 ,Petrol,Manual,First
98,maruti-suzuki-s-cross,1462 ,18.5,4300 ,1595 ,5 ,1149000.0,Feb 2021,5216 ,Petrol,Manual,First
99,maruti-suzuki-swift-dzire,1197 ,19.1,3995 ,1555 ,5 ,440000.00000000006,Mar 2014,32682 ,Petrol,Manual,First
100,maruti-suzuki-ertiga,1373 ,24.59,4296 ,1685 ,7 ,1155000.0,Jan 2021,25523 ,CNG,Manual,First
101,bmw-x1,1995 ,17.05,4454 ,1545 ,5 ,2300000.0,Jan 2018,57948 ,Diesel,Automatic,First
102,hyundai-creta,1591 ,15.29,4270 ,1665 ,5 ,1449000.0,Feb 2019,30753 ,Petrol,Automatic,First
103,hyundai-venue,998 ,17.8,3995 ,1605 ,5 ,819999.9999999999,Jul 2019,47147 ,Petrol,Manual,First
104,maruti-suzuki-alto-800,998 ,18.15,3995 ,1605 ,5 ,1010000.0,Jun 2019,45105 ,Petrol,Automatic,First
105,maruti-suzuki-swift,1248 ,25.2,3850 ,1530 ,5 ,535000.0,Mar 2017,52007 ,Diesel,Manual,First
106,maruti-suzuki-celerio,1197 ,21.4,3995 ,1500 ,5 ,509999.99999999994,Oct 2015,61053 ,Petrol,Manual,Second
107,honda-city,2393 ,15.1,4735 ,1795 ,7 ,1710000.0000000002,Feb 2018,57962 ,Diesel,Manual,First
108,maruti-suzuki-vitara-brezza,1197 ,18.6,3850 ,1530 ,5 ,550000.0,Feb 2015,47839 ,Petrol,Manual,First
109,maruti-suzuki-swift,1197 ,18.5,3775 ,1620 ,5 ,415000.00000000006,Oct 2014,50882 ,Petrol,Manual,First
110,maruti-suzuki-s-presso,1197 ,18.6,3985 ,1505 ,5 ,675000.0,Jul 2017,33769 ,Petrol,Manual,First
111,renault-triber,1197 ,20.85,3995 ,1555 ,5 ,615000.0,Jan 2016,42279 ,Petrol,Manual,First
112,renault-kwid,1198 ,17.88,3994 ,1607 ,5 ,700000.0,Jan 2017,34580 ,Petrol,Manual,First
113,maruti-suzuki-baleno,1248 ,23.4,3995 ,1555 ,5 ,625000.0,Jun 2015,74993 ,Diesel,Manual,First
114,maruti-suzuki-alto-800,1199 ,23.84,3793 ,1587 ,5 ,629000.0,Feb 2019,9575 ,Petrol,Manual,First
116,tata-altroz,1198 ,19.34,3825 ,1530 ,5 ,575000.0,Nov 2015,19742 ,Petrol,Automatic,First
117,hyundai-verna,1197 ,19.77,3765 ,1520 ,5 ,495000.0,Mar 2018,59790 ,Petrol,Manual,First
118,honda-city,2143 ,17.9,4424 ,1494 ,5 ,2950000.0,Mar 2019,24592 ,Diesel,Automatic,First
119,ford-ecosport,2755 ,12.9,4795 ,1835 ,7 ,3050000.0,Oct 2017,86955 ,Diesel,Automatic,First
120,hyundai-venue,1198 ,17.8,3990 ,1505 ,5 ,660000.0,Jan 2019,28003 ,Petrol,Manual,First
121,maruti-suzuki-swift,1197 ,21.4,3995 ,1500 ,5 ,575000.0,Sep 2018,40028 ,Petrol,Manual,First
122,maruti-suzuki-baleno,1497 ,16.8,4440 ,1485 ,5 ,578000.0,Apr 2014,47565 ,Petrol,Manual,First
123,toyota-innova,1591 ,15.92,4440 ,1475 ,5 ,999000.0,Feb 2018,48168 ,Petrol,Automatic,First
124,maruti-suzuki-swift,1798 ,15.1,4670 ,1476 ,5 ,1998999.9999999998,Feb 2017,69985 ,Petrol,Automatic,First
125,maruti-suzuki-ritz,1197 ,20.85,3995 ,1555 ,5 ,699000.0,Feb 2017,52620 ,Petrol,Manual,First
126,hyundai-elite-i20,1198 ,17.8,3990 ,1505 ,5 ,779000.0,Dec 2019,53304 ,Petrol,Manual,First
127,maruti-suzuki-swift-dzire,1462 ,19.01,4395 ,1690 ,7 ,1099000.0,Feb 2021,14302 ,Petrol,Manual,First
128,tata-nexon,1498 ,13.6,4315 ,1695 ,5 ,749000.0,Feb 2017,60728 ,Petrol,Manual,First
129,maruti-suzuki-swift-dzire,1248 ,23.65,4300 ,1590 ,5 ,729000.0,Feb 2015,68655 ,Diesel,Manual,Second
130,tata-tiago-nrg,1197 ,20.52,3655 ,1675 ,5 ,599000.0,Feb 2020,27425 ,Petrol,Manual,First
131,skoda-rapid,1598 ,15.04,4384 ,1466 ,5 ,490000.00000000006,Jan 2015,38713 ,Petrol,Manual,First
132,nissan-micra,2198 ,12.62,4892 ,1837 ,7 ,2995000.0,Feb 2018,29479 ,Diesel,Automatic,First
133,hyundai-grand-i10,1956 ,16.3,4598 ,1706 ,5 ,1560000.0,Jan 2021,59800 ,Diesel,Manual,First
134,mercedes-benz-gla,1497 ,18.0,4440 ,1495 ,5 ,935000.0,Jan 2017,36176 ,Petrol,Automatic,First
135,toyota-fortuner,1497 ,17.8,4440 ,1495 ,5 ,725000.0,Sep 2016,32834 ,Petrol,Manual,First
136,honda-amaze,1199 ,17.5,3999 ,1601 ,5 ,675000.0,Oct 2017,31262 ,Petrol,Manual,First
137,maruti-suzuki-baleno,1462 ,17.0,3995 ,1640 ,5 ,999000.0,Feb 2020,34108 ,Petrol,Manual,First
138,honda-city,1497 ,18.0,4440 ,1495 ,5 ,645000.0,Jan 2015,22273 ,Petrol,Automatic,First
139,hyundai-verna,1199 ,19.5,3995 ,1501 ,5 ,650000.0,Jul 2018,31360 ,Petrol,Manual,First
140,skoda-octavia,1197 ,18.19,4390 ,1467 ,5 ,690000.0,Jun 2016,49115 ,Petrol,Automatic,First
141,maruti-suzuki-swift-dzire,1368 ,14.1,4395 ,1640 ,5 ,1689999.9999999998,Jun 2018,18994 ,Petrol,Automatic,First
142,honda-amaze,1197 ,18.9,3765 ,1520 ,5 ,599000.0,Feb 2016,13161 ,Petrol,Manual,First
143,maruti-suzuki-ertiga,998 ,18.15,3995 ,1605 ,5 ,1085000.0,Aug 2019,21252 ,Petrol,Automatic,First
144,renault-duster,1462 ,17.0,3995 ,1640 ,5 ,1099000.0,Feb 2022,5822 ,Petrol,Manual,First
145,maruti-suzuki-s-cross,998 ,21.7,3565 ,1564 ,5 ,579000.0,Feb 2022,895 ,Petrol,Manual,First
146,maruti-suzuki-wagon-r,1498 ,13.6,4315 ,1695 ,5 ,799000.0,Feb 2017,48627 ,Petrol,Automatic,Second
147,volkswagen-vento,998 ,23.1,3600 ,1560 ,5 ,499000.0,Feb 2015,18910 ,Petrol,Automatic,First
148,ford-endeavour,998 ,20.5,3599 ,1700 ,5 ,421000.0,Mar 2017,33890 ,Petrol,Automatic,First
149,tata-harrier,1497 ,17.8,4440 ,1495 ,5 ,675000.0,Nov 2015,48513 ,Petrol,Manual,First
150,honda-city,1197 ,22.38,3845 ,1530 ,5 ,779000.0,Jul 2022,4579 ,Petrol,Manual,First
151,honda-city,1498 ,13.6,4315 ,1695 ,5 ,999000.0,Feb 2019,17869 ,Petrol,Automatic,First
152,honda-wr-v,1248 ,24.29,3995 ,1640 ,5 ,951000.0,Feb 2019,57911 ,Diesel,Automatic,First
153,maruti-suzuki-vitara-brezza,1598 ,15.41,4413 ,1466 ,5 ,944999.9999999999,Jan 2021,48741 ,Petrol,Manual,First
154,honda-city,1197 ,19.8,3985 ,1505 ,5 ,625000.0,Oct 2018,37002 ,Petrol,Manual,First
155,honda-amaze,1591 ,15.29,4270 ,1665 ,5 ,1251000.0,Nov 2018,58678 ,Petrol,Automatic,First
156,volkswagen-vento,1598 ,14.84,4413 ,1466 ,5 ,851000.0,Jan 2018,31476 ,Petrol,Automatic,First
157,jeep-compass,1197 ,17.0,3995 ,1627 ,5 ,844999.9999999999,Apr 2019,15883 ,Petrol,Manual,Second
158,hyundai-grand-i10,1497 ,18.0,4440 ,1495 ,5 ,935000.0,Jan 2017,36176 ,Petrol,Automatic,First
159,hyundai-venue,1197 ,22.0,3840 ,1530 ,5 ,620000.0,May 2018,25710 ,Petrol,Automatic,First
160,toyota-urban-cruiser,1198 ,17.88,3994 ,1607 ,5 ,949000.0,Oct 2018,25289 ,Petrol,Manual,First
161,maruti-suzuki-s-presso,2982 ,12.55,4705 ,1850 ,7 ,1751000.0000000002,Aug 2015,98561 ,Diesel,Automatic,Second
162,renault-duster,1956 ,16.3,4598 ,1706 ,5 ,1560000.0,Jan 2021,59800 ,Diesel,Manual,First
163,maruti-suzuki-celerio,1498 ,13.6,4315 ,1695 ,5 ,999000.0,Feb 2019,17869 ,Petrol,Automatic,First
164,maruti-suzuki-wagon-r,2198 ,12.62,4892 ,1837 ,7 ,2995000.0,Feb 2018,29479 ,Diesel,Automatic,First
165,honda-city,998 ,20.5,3599 ,1700 ,5 ,421000.0,Mar 2017,33890 ,Petrol,Automatic,First
166,maruti-suzuki-swift,1598 ,15.04,4384 ,1466 ,5 ,490000.00000000006,Jan 2015,38713 ,Petrol,Manual,First
167,renault-duster,1462 ,19.01,4395 ,1690 ,7 ,1099000.0,Feb 2021,14302 ,Petrol,Manual,First
168,maruti-suzuki-vitara-brezza,1497 ,17.8,4440 ,1495 ,5 ,675000.0,Nov 2015,48513 ,Petrol,Manual,First
169,skoda-rapid,1197 ,22.38,3845 ,1530 ,5 ,779000.0,Jul 2022,4579 ,Petrol,Manual,First
170,hyundai-elite-i20,1248 ,23.65,4300 ,1590 ,5 ,729000.0,Feb 2015,68655 ,Diesel,Manual,Second
171,hyundai-creta,1498 ,13.6,4315 ,1695 ,5 ,799000.0,Feb 2017,48627 ,Petrol,Automatic,Second
172,skoda-rapid,1462 ,17.0,3995 ,1640 ,5 ,1099000.0,Feb 2022,5822 ,Petrol,Manual,First
173,mahindra-xuv300,998 ,21.7,3565 ,1564 ,5 ,579000.0,Feb 2022,895 ,Petrol,Manual,First
174,honda-city,998 ,23.1,3600 ,1560 ,5 ,499000.0,Feb 2015,18910 ,Petrol,Automatic,First
175,maruti-suzuki-swift,1591 ,15.29,4270 ,1665 ,5 ,1290000.0,May 2019,51668 ,Petrol,Automatic,First
176,maruti-suzuki-swift,1197 ,22.56,3845 ,1530 ,5 ,900000.0,Oct 2022,875 ,Petrol,Automatic,First
177,renault-kwid,999 ,24.04,3679 ,1478 ,5 ,350000.0,May 2017,61920 ,Petrol,Automatic,First
178,kia-seltos,1497 ,16.8,4315 ,1645 ,5 ,1400000.0,Jun 2020,41070 ,Petrol,Manual,First
179,honda-city,1497 ,18.0,4440 ,1495 ,5 ,1511000.0,Aug 2021,7795 ,Petrol,Automatic,First
180,ford-ecosport,1497 ,14.8,3998 ,1647 ,5 ,875000.0,Jan 2019,37505 ,Petrol,Automatic,First
181,renault-kwid,999 ,23.01,3679 ,1478 ,5 ,425000.0,Feb 2018,22545 ,Petrol,Manual,First
183,hyundai-grand-i10,1197 ,19.77,3765 ,1520 ,5 ,465000.00000000006,Mar 2017,36611 ,Petrol,Manual,Second
184,maruti-suzuki-baleno,1197 ,21.4,3995 ,1500 ,5 ,640000.0,Jul 2017,55515 ,Petrol,Manual,First
185,renault-kwid,799 ,25.0,3679 ,1478 ,5 ,390000.0,Jul 2019,34178 ,Petrol,Manual,First
186,hyundai-creta,1591 ,15.29,4270 ,1630 ,5 ,935000.0,Aug 2017,68679 ,Petrol,Manual,Second
187,hyundai-santro,1086 ,20.3,3610 ,1560 ,5 ,500000.0,Dec 2019,11564 ,Petrol,Manual,First
188,maruti-suzuki-swift,1197 ,22.56,3845 ,1530 ,5 ,800000.0,Aug 2021,2864 ,Petrol,Automatic,Second
189,maruti-suzuki-baleno,1197 ,21.4,3995 ,1500 ,5 ,725000.0,Jan 2017,3166 ,Petrol,Automatic,First
190,hyundai-creta,1591 ,15.29,4270 ,1630 ,5 ,1044999.9999999999,Jan 2017,58567 ,Petrol,Automatic,First
191,honda-wr-v,1498 ,25.5,3999 ,1601 ,5 ,850000.0,May 2017,73478 ,Diesel,Manual,First
192,hyundai-verna,1582 ,24.8,4375 ,1475 ,5 ,625000.0,Oct 2015,55591 ,Diesel,Manual,First
193,honda-city,1497 ,17.4,4440 ,1495 ,5 ,1199000.0,Feb 2020,67184 ,Petrol,Manual,First
194,honda-jazz,1199 ,18.7,3955 ,1544 ,5 ,440000.00000000006,Jan 2018,23894 ,Petrol,Manual,First
195,ford-ecosport,1499 ,15.6,3999 ,1708 ,5 ,685000.0,Jun 2016,48520 ,Petrol,Automatic,First
197,kia-seltos,1493 ,18.0,4315 ,1645 ,5 ,1475000.0,Jan 2020,33573 ,Diesel,Automatic,First
198,bmw-3-series,1995 ,19.59,4624 ,1429 ,5 ,4500000.0,Mar 2020,12697 ,Diesel,Automatic,First
199,maruti-suzuki-s-cross,1462 ,18.4,4300 ,1595 ,5 ,1099000.0,Aug 2020,41680 ,Petrol,Automatic,First
200,maruti-suzuki-s-cross,1462 ,18.4,4300 ,1595 ,5 ,1099000.0,Aug 2020,41680 ,Petrol,Automatic,First
201,kia-sonet,998 ,18.2,3995 ,1647 ,5 ,1149000.0,Feb 2020,13032 ,Petrol,Manual,First
202,tata-tiago,1199 ,23.84,3746 ,1535 ,5 ,569000.0,Feb 2018,40679 ,Petrol,Manual,First
203,hyundai-elite-i20,1197 ,20.0,3985 ,1505 ,5 ,849000.0,Feb 2020,4714 ,Petrol,Manual,First
204,honda-city,1497 ,17.8,4440 ,1495 ,5 ,745000.0,Feb 2016,56862 ,Petrol,Manual,First
205,hyundai-creta,1591 ,15.29,4270 ,1665 ,5 ,1350000.0,Jun 2019,7909 ,Petrol,Automatic,First
206,maruti-suzuki-baleno,1197 ,21.4,3995 ,1500 ,5 ,615000.0,Nov 2017,36198 ,Petrol,Manual,First
207,ford-ecosport,1498 ,23.0,3998 ,1647 ,5 ,999000.0,Feb 2018,53598 ,Diesel,Manual,First
208,maruti-suzuki-ertiga,1462 ,19.01,4395 ,1690 ,7 ,899000.0,Oct 2018,52800 ,Petrol,Manual,First
209,hyundai-grand-i10,1197 ,18.9,3765 ,1520 ,5 ,579000.0,Feb 2016,39825 ,Petrol,Manual,First
210,hyundai-grand-i10,1197 ,18.9,3765 ,1520 ,5 ,519000.00000000006,Feb 2015,44406 ,Petrol,Manual,First
211,hyundai-verna,1591 ,17.4,4375 ,1475 ,5 ,769000.0,Feb 2016,53407 ,Petrol,Manual,First
213,renault-kiger,999 ,19.03,3991 ,1605 ,5 ,849000.0,May 2022,3930 ,Petrol,Automatic,First
214,honda-jazz,1199 ,18.7,3955 ,1544 ,5 ,535000.0,Oct 2015,34025 ,Petrol,Manual,First
215,hyundai-creta,1582 ,17.01,4270 ,1630 ,5 ,1100000.0,Nov 2017,66188 ,Diesel,Automatic,First
216,honda-city,1497 ,17.8,4440 ,1495 ,5 ,575000.0,Dec 2015,51878 ,Petrol,Manual,First
217,jeep-compass,1956 ,17.1,4395 ,1640 ,5 ,900000.0,Jul 2018,78294 ,Diesel,Manual,First
218,maruti-suzuki-s-cross,1462 ,18.5,4300 ,1595 ,5 ,1129000.0,Feb 2021,16535 ,Petrol,Manual,First
219,tata-nexon,1199 ,16.3,3993 ,1606 ,5 ,1049000.0,Feb 2020,35699 ,Petrol,Automatic,First
220,toyota-innova,2755 ,14.29,4735 ,1795 ,7 ,1848999.9999999998,Feb 2016,71410 ,Diesel,Automatic,First
221,honda-city,1497 ,17.8,4440 ,1495 ,5 ,525000.0,Feb 2014,43247 ,Petrol,Manual,First
222,maruti-suzuki-wagon-r,998 ,22.5,3655 ,1675 ,5 ,475000.0,Jul 2018,23178 ,Petrol,Automatic,First
223,honda-city,1497 ,18.0,4440 ,1495 ,5 ,891000.0,Aug 2018,35077 ,Petrol,Automatic,First
224,honda-amaze,1199 ,19.0,3995 ,1501 ,5 ,725000.0,Oct 2018,31747 ,Petrol,Automatic,First
225,honda-amaze,1198 ,17.8,3990 ,1505 ,5 ,390000.0,Feb 2014,74783 ,Petrol,Manual,Second
226,honda-amaze,1198 ,18.0,3990 ,1505 ,5 ,364000.0,Oct 2013,82747 ,Petrol,Manual,First
