,name,Engine,Mileage,Length,Height,Seating_Capacity,price,year,km,FuelType,Transmission,Owner
1881,mahindra-xuv500,2179 ,16.0,4585 ,1785 ,7 ,1280000.0,Jun 2017,21750 ,Diesel,Manual,First
1882,hyundai-elite-i20,1197 ,18.6,3985 ,1505 ,5 ,548000.0,Jun 2016,70313 ,Petrol,Manual,First
1883,honda-city,1497 ,18.0,4440 ,1495 ,5 ,648000.0,Jun 2015,53566 ,Petrol,Automatic,First
1884,maruti-suzuki-swift,1197 ,18.6,3850 ,1530 ,5 ,457000.0,Jun 2014,79979 ,Petrol,Manual,First
1885,maruti-suzuki-swift,1197 ,20.4,3850 ,1530 ,5 ,608000.0,Jun 2019,71735 ,Petrol,Manual,Second
1886,maruti-suzuki-vitara-brezza,1248 ,24.29,3995 ,1640 ,5 ,890000.0,Jun 2017,62076 ,Diesel,Manual,First
1887,maruti-suzuki-alto-800,796 ,22.0,3445 ,1475 ,5 ,359000.0,Jun 2019,14146 ,Petrol,Manual,First
1888,maruti-suzuki-wagon-r,998 ,20.5,3599 ,1700 ,5 ,420000.0,Jun 2017,82269 ,Petrol,Manual,Second
1889,hyundai-elite-i20,1493 ,25.2,3995 ,1505 ,5 ,1092000.0,Jun 2021,64682 ,Diesel,Manual,First
1890,hyundai-elite-i20,1396 ,22.54,3985 ,1505 ,5 ,597000.0,Jun 2017,49220 ,Diesel,Manual,Second
1891,toyota-glanza,1197 ,21.01,3995 ,1510 ,5 ,885000.0,Jun 2021,38224 ,Petrol,Manual,First
1892,maruti-suzuki-ciaz,1373 ,19.12,4490 ,1485 ,5 ,753000.0,Jun 2016,50687 ,Petrol,Automatic,First
1893,renault-kiger,999 ,19.03,3991 ,1605 ,5 ,767000.0,Jun 2021,2819 ,Petrol,Automatic,First
1894,honda-city,1497 ,17.4,4440 ,1495 ,5 ,1270000.0,Jun 2020,20039 ,Petrol,Manual,First
1895,honda-city,1497 ,17.8,4440 ,1495 ,5 ,699000.0,Jun 2016,33591 ,Petrol,Manual,First
1896,hyundai-eon,814 ,21.1,3495 ,1500 ,5 ,361000.0,Jun 2018,86198 ,Petrol,Manual,Second
1897,maruti-suzuki-vitara-brezza,1248 ,24.29,3995 ,1640 ,5 ,746000.0,Jun 2016,71935 ,Diesel,Manual,First
1898,maruti-suzuki-alto-800,796 ,22.0,3445 ,1475 ,5 ,416000.0,Jun 2020,28867 ,Petrol,Manual,First
1899,tata-tiago,1047 ,27.28,3746 ,1535 ,5 ,491000.0,Jun 2018,64666 ,Petrol,Manual,First
1900,hyundai-creta,1591 ,15.29,4270 ,1630 ,5 ,835000.0,Jun 2016,44322 ,Petrol,Manual,Second
1901,nissan-micra,1198 ,19.34,3825 ,1530 ,5 ,588000.0,Jun 2018,18774 ,Petrol,Automatic,First
1902,maruti-suzuki-dzire,1197 ,21.21,3995 ,1515 ,5 ,736000.0,Jun 2017,44270 ,Petrol,Automatic,Second
1903,volkswagen-tiguan,1968 ,16.65,4486 ,1672 ,5 ,1982999.9999999998,Jun 2019,33949 ,Diesel,Automatic,First
1904,toyota-glanza,1197 ,19.56,3995 ,1510 ,5 ,796000.0,Jun 2019,26445 ,Petrol,Automatic,First
1906,maruti-suzuki-swift,1197 ,22.0,3840 ,1530 ,5 ,609000.0,Jun 2018,65524 ,Petrol,Automatic,Third
1907,mahindra-scorpio,2179 ,15.4,4456 ,1995 ,7 & 8 ,1024000.0,Jun 2014,52481 ,Diesel,Manual,First
1908,maruti-suzuki-ritz,1197 ,18.5,3775 ,1620 ,5 ,376000.0,Jun 2013,86916 ,Petrol,Manual,First
1909,renault-captur,1461 ,20.37,4329 ,1619 ,5 ,882000.0,Jun 2018,44857 ,Diesel,Manual,First
1910,maruti-suzuki-celerio,998 ,31.79,3600 ,1560 ,5 ,511000.00000000006,Jun 2018,62302 ,CNG,Manual,First
1911,hyundai-santro,1086 ,20.0,3610 ,1560 ,5 ,625000.0,Jun 2020,15626 ,Petrol,Automatic,First
1912,maruti-suzuki-s-presso,998 ,31.19,3565 ,1564 ,4 ,501999.99999999994,Jun 2020,2676 ,CNG,Manual,First
1913,maruti-suzuki-alto,796 ,14.54,3495 ,1460 ,5 ,210000.0,Jun 2012,11969 ,Petrol,Manual,First
1914,maruti-suzuki-swift,1248 ,22.9,3850 ,1530 ,5 ,507000.0,Jun 2014,84742 ,Diesel,Manual,First
1915,kia-seltos,1493 ,20.0,4315 ,1645 ,5 ,1454000.0,Jun 2020,46978 ,Diesel,Manual,First
1916,maruti-suzuki-alto-800,796 ,22.74,3395 ,1475 ,5 ,282000.0,Jun 2016,33367 ,Petrol,Manual,Second
1917,hyundai-grand-i10,1197 ,18.9,3765 ,1520 ,5 ,542000.0,Jun 2018,23877 ,Petrol,Manual,First
1918,hyundai-elite-i20,1197 ,19.6,3995 ,1505 ,5 ,844999.9999999999,Jun 2021,13482 ,Petrol,Automatic,First
1919,maruti-suzuki-vitara-brezza,1248 ,24.29,3995 ,1640 ,5 ,907000.0,Jun 2018,50829 ,Diesel,Automatic,First
1920,hyundai-xcent,1197 ,19.1,3995 ,1520 ,5 ,486000.00000000006,Jun 2015,37882 ,Petrol,Manual,First
1921,renault-kiger,999 ,19.17,3991 ,1605 ,5 ,894000.0,Jun 2021,16264 ,Petrol,Manual,First
1922,maruti-suzuki-swift-dzire,1298 ,11.9,4160 ,1530 ,5 ,357000.0,Jun 2010,43603 ,Petrol,Manual,First
1923,renault-triber,999 ,20.0,3990 ,1643 ,7 ,703000.0,Jun 2019,4664 ,Petrol,Manual,First
1924,maruti-suzuki-alto,998 ,24.07,3545 ,1475 ,5 ,299000.0,Jun 2015,70278 ,Petrol,Manual,First
1925,maruti-suzuki-swift,1197 ,22.0,3840 ,1530 ,5 ,666000.0,Jun 2018,37338 ,Petrol,Automatic,First
1927,maruti-suzuki-celerio,998 ,23.1,3600 ,1560 ,5 ,549000.0,Jun 2018,17542 ,Petrol,Automatic,First
1928,maruti-suzuki-alto,998 ,20.2,3620 ,1460 ,5 ,187000.0,Jun 2012,38476 ,Petrol,Manual,First
1929,hyundai-venue,998 ,18.2,3995 ,1605 ,5 ,1042000.0,Jun 2019,16400 ,Petrol,Manual,Second
1930,honda-brio,1198 ,19.4,3610 ,1500 ,5 ,412000.0,Jun 2016,17877 ,Petrol,Manual,Third
1931,hyundai-i10,1086 ,19.81,3585 ,1550 ,5 ,272000.0,Jun 2011,52694 ,Petrol,Manual,First
1932,maruti-suzuki-vitara-brezza,1248 ,24.29,3995 ,1640 ,5 ,1026000.0,Jun 2019,55174 ,Diesel,Manual,First
1933,hyundai-elite-i20,1197 ,18.6,3985 ,1505 ,5 ,699000.0,Jun 2017,18531 ,Petrol,Manual,First
1934,volkswagen-polo,1198 ,16.47,3970 ,1453 ,5 ,501000.0,Jun 2014,59122 ,Petrol,Manual,First
1935,maruti-suzuki-alto-800,796 ,22.74,3395 ,1475 ,5 ,267000.0,Jun 2017,50749 ,Petrol,Manual,First
1936,ford-ecosport,1498 ,22.7,3999 ,1708 ,5 ,683000.0,Jun 2014,83387 ,Diesel,Manual,First
1937,ford-ecosport,1498 ,22.7,3999 ,1708 ,5 ,705000.0,Jun 2014,50881 ,Diesel,Manual,First
1938,hyundai-elite-i20,1197 ,19.8,3985 ,1505 ,5 ,698000.0,Jun 2018,72115 ,Petrol,Manual,First
